company,email,phone,domain,source_url,consent_status,verification_status,overall_score,raw_text_snippet
Aa Travel,info@aatravel.ca,+1416-335-6026,aatravel.ca,https://aatravel.ca,legitimate_interest,email_verified,25.61,Best Hajj & Umrah packages for 2024 by A & A Travel & Tours (Formerly known as Baggia Travels)
Ababil Travel,info@ababiltravel.com,01582 249559,ababiltravel.com,https://ababiltravel.com,legitimate_interest,email_verified,26.42,Trusted Umrah &  Ticketing Solutions in Luton!
Accurate Travel S,iqbal@accuratetravels.com,416-264-9299,accuratetravels.com,https://accuratetravels.com/contact_us.php,unknown,email_verified,25.06,"Accurate Travel & Tours offer pre-designed & customized Umrah & Hajj packages including all hotel booking, air tickets, breakfast & dedicated travel to destination"
Sadat Hajj & Umrah,admin@agentrav.com,01254 368193,agentrav.in,https://agentrav.in/company/15228-sadat-hajj-umrah,unknown,email_verified,23.04,"Sadat Hajj and Umrah is a leading provider of group arranged fully inclusive Hajj packages and tailo • Located in Blackburn, England • Specializing in Isla..."
Ayesha Hajj & Umrah Services,info@ahus.co.nz,+14083246340,ahus.co.nz,https://ahus.co.nz/umrah,legitimate_interest,email_verified,21.25,Umrah
Wakeel Worldwide Travel,info@al-wakeelhajjandumrah.com,50 0225 1 0325 1000,al-wakeelhajjandumrah.com,https://www.al-wakeelhajjandumrah.com/umrah-packages,legitimate_interest,email_verified,26.92,Umrah Packages
Alalaa Travel Hajj and Umrah Tours,info@alalaatravel.com,,alalaatravel.com,https://www.alalaatravel.com/site/about.php,legitimate_interest,email_verified,20.70,Alalaa Travel is your source for Hajj travel from the USA. Check out our comprehensive 2022 packages for Hajj and Umrah Tours
Al Badar Travel UK,sales@albadartravel.co.uk,0121 773 4918,albadartravel.co.uk,https://albadartravel.co.uk,legitimate_interest,email_verified,27.81,"Al Badar Travel is one of the West Midland's leading travel agents, located in the heart of Birmingham offering Hajj and Umrah packages at lowest possible rates."
albaseerahtravel,info@albaseerah.travel,01274 317 867,albaseerah.travel,https://www.albaseerah.travel,legitimate_interest,email_verified,25.25,Albaseerah Travel - A Bradford based travel agency offering premier 5* Hajj & Umrah packages. Perform Hajj 2026 with us by enquiring now.
Al Eimaan Travel » Contact Us,info@aleimaantravel.co.za,+966 54 343 100 72,aleimaantravel.co.za,https://aleimaantravel.co.za/contact-us,legitimate_interest,email_verified,26.92,Al Eimaan Travel
Alfalah Travel and Tourism,info@alfalahtravelandtourism.com,,alfalahtravelandtourism.com,https://alfalahtravelandtourism.com/about-us,legitimate_interest,email_verified,23.20,Discover the Essence of Alfalah Travel & Tours.
Alhadi Travel,info@alhaditravel.co.uk,0203 930 0817,alhaditravel.co.uk,https://alhaditravel.co.uk/city/sheffield-umrah-packages,legitimate_interest,email_verified,25.44,Alhadi Travel offers top-rated Umrah Packages Sheffield. ATOL & IATA certified for reliability. Start your journey today with us.
Alhaq Tours,info@alhaqtours.com,312) 923 - 7866,alhaqtours.com,https://alhaqtours.com/chicago-umrah-packages.html,legitimate_interest,email_verified,21.25,"Book all-inclusive Chicago Umrah Packages 2026 with Alhaq Tours. Get flights, visa, transport, and hotels near Haramain at the best prices."
Alhaq Travel,quotes@alhaqtravel.co.uk,020 34757513,alhaqtravel.co.uk,https://www.alhaqtravel.co.uk/contact-us,unknown,email_verified,26.42,Contact US | Alhaq Travel UK  | 020 34757513
Alharam travel,info@alharamtravel.co.uk,+447417471247,alharamtravel.co.uk,https://www.alharamtravel.co.uk/offers/umrah-packages-bradford,legitimate_interest,email_verified,24.80,"We offer Umrah packages from Bradford with economical to luxury arrangements. Return flights from Bradford. 5 star, 4 star, and 3 star hotel options in Makkah and Medina. We make it affordable with advance Umrah Services. Savings up to 30%, flexible payment options."
Alharam Travel,info@alharamtravel.com,888-608-1057,alharamtravel.com,https://www.alharamtravel.com,legitimate_interest,email_verified,24.73,"AlHaram Travel is a leading Hajj & Umrah services provider that specializes in designing Hajj & Umrah packages for USA citizens. Select flights from nearest USA airport, choose near Haram hotel & get fast visa processing while booking all-inclusive Hajj & Umrah packages. Avail professional assistance from certified tra"
Al Haram Travel and Tours,info@alharamtravelntours.com,+1 (623) 404-4213,alharamtravelntours.com,https://alharamtravelntours.com/umrah-from-san-francisco,legitimate_interest,email_verified,26.03,"Book Umrah from San Francisco with complete travel services, flights, hotels near Haram, visa assistance & group packages for US pilgrims."
Alhijra Travel BV,booking@alhijratravel.com,+31 010 226 20 98,alhijratravel.nl,https://www.alhijratravel.nl/categorie/hadj,unknown,email_verified,27.25,Hadj
ALMAASI NUJOOM,nujoomalmaasi@mweb.co.za,061 495 4745,almaasinujoom.co.za,https://www.almaasinujoom.co.za,unknown,email_verified,25.20,"Experience premium Hajj and Umrah packages with ALMAASI NUJOOM. Offering luxury accommodations, expert guidance, and complete travel services for your spiritual journey to Makkah and Madina."
Almaknoon Travel S,info@almaknoontravels.co.uk,+44 208 4786 886,almaknoontravels.co.uk,https://almaknoontravels.co.uk/contact-us,legitimate_interest,email_verified,21.25,Contact Us
Al Momin Travels,info@almomintravel.co.uk,+442032890000 16,almomintravel.co.uk,https://almomintravel.co.uk/about-us,legitimate_interest,email_verified,25.31,"Learn about Al Momin Travel, a UK-based agency offering reliable Umrah packages, expert guidance, and seamless travel experiences for pilgrims."
Al Musafir Travel,info@almusafirtravel.co.uk,+44 20 3504 1840,almusafirtravel.co.uk,https://almusafirtravel.co.uk/glasgow,legitimate_interest,email_verified,25.25,"Umrah Travel Agency Glasgow offers affordable Umrah packages, visa assistance, hotel bookings, and complete travel arrangements for a smooth and spiritual pilgrimage."
Al Raad Tours & Travel,info@alraadtours.com,678-677-2807,alraadtours.com,http://www.alraadtours.com/contact-us,legitimate_interest,email_verified,25.31,"Reach out to Al Raad Tours for Hajj & Umrah inquiries. Call 678-677-2807 or email info@alraadtours.com. Visit us in Atlanta, GA."
Alraheem Travel S,info@alraheemtravels.com,2025 2025-05-21,alraheemtravels.com,http://alraheemtravels.com/blogs/best-umrah-travel-agency-in-arizona,legitimate_interest,email_verified,25.25,"Looking for the Best Umrah Travel Agency in Arizona USA? Alraheem Travels offers Affordable Umrah Packages 2025 with flights, hotels, Visa & Imam guidance."
Umrah from San Francisco,info@safwatours.com,+1 (872) 263-9805,alsafwatours.com,https://alsafwatours.com/umrah-from-san-francisco,legitimate_interest,email_verified,21.25,Umrah from San Francisco
Shafie Travels,info@alshafietravels.com,+1(718) 973-9626,alshafietravels.com,https://alshafietravels.com/umrah-packages-houston,legitimate_interest,email_verified,23.92,"Explore Umrah packages from Houston 2026 with flights, hotels and visa support. Check Umrah packages Houston prices and plan your trip with Al Shafie Travels."
Agence agréée omra et Hajj,info.alsirate@gmail.com,+33 3 74 09 06 39 229,alsiratevoyage.com,https://www.alsiratevoyage.com/omra-marseille,unknown,email_verified,21.25,"Omra Marseille avec votre agence agrée Omra et Hajj, Alsirate Voyage, implantée dans différentes villes de France. Prix pas cher! Réservez!"
Umrah Travel Agency UK,info@alzowartravel.co.uk,020 3504 2326 13,alzowartravel.co.uk,https://alzowartravel.co.uk,legitimate_interest,email_verified,25.31,"Best Umrah Travel agency in UK, Al Zowar Travel offers Hajj and Umrah services, expert guidance, Dedicated support and ATOL protected."
Amana Travel Canada,booking@amanatravel.ca,1(888) 909-2651,amanatravel.ca,https://amanatravel.ca,unknown,email_verified,24.88,"Discover Amana Travel, your trusted travel agency in Edmonton for dream vacations and Umrah packages. We offer expert planning, exclusive deals, and personalized services to make your trip unforgettable. Book your next vacation or Umrah journey with us today!"
Aqdas Travel,info@aqdastravel.co.uk,0203 504 1818,aqdastravel.co.uk,https://aqdastravel.co.uk/umrah-packages-from-liverpool,legitimate_interest,email_verified,25.20,"Umrah Packages From Liverpool for families & mosque groups. Direct flights, Northwest support, ATOL protected. 9 years, 20,000+ pilgrims."
Ark Travelers AB,info@arktravelers.com,+46 700 101 401,arktravelers.com,https://www.arktravelers.com,legitimate_interest,email_verified,25.25,"Ark Travelers AB makes travel easy worldwide. Flights, hotels, excursions, visas, and Umrah & Hajj packages handled with care and personal attention."
A WAY TO MAKKAH,info@awaytomakkah.com,07838648097,awaytomakkah.com,https://awaytomakkah.com,legitimate_interest,email_verified,27.49,Find affordable Umrah Packages and spiritual travel services at Away to Makkah for a fulfilling pilgrimage experience.
Azaan Travel,info@azaantravel.com,+45 29 41 91 44,azaantravel.com,https://azaantravel.com,legitimate_interest,email_verified,25.52,Vi har hos Azaan Travel mange års erfaring i at tilbyde rejser til forskellige destinationer.
specialising in Hajj & Umrah Tours,admin@barakahtravel.co.za,+27 74 046 4101,barakahtravel.co.za,https://barakahtravel.co.za,unknown,email_verified,21.25,Embark on an Unforgettable Journey
Hajj And Umrah,inquiry@bestwesttravel.com,0449965678,bestwesttravel.com.au,https://bestwesttravel.com.au/hajj-and-umrah,unknown,email_verified,26.23,Experience Spiritual Serenity with Trusted Pilgrimage Services
Bismillah Hajj and Umrah Services,bismillahhajj2000@hotmail.com,,bismillahhajj.com,https://bismillahhajj.com,unknown,email_verified,21.25,Home - Bismillah Hajj and Umrah Services 416.883.9693 bismillahhajj2000@hotmail.com Home About Us Umrah Packages November Umrah December Umrah Hajj 2025 How to Register Important Information Important Places Common Questions Articles to Pack Arabic Words to Know Seminar Details Hajj Visa Requirements Contact Us Select
