company,contact_name,role,email,phone,domain,source_url,source_label,consent_status,verification_status,overall_score,raw_text_snippet
Al Badar Travel UK,,Procurement Manager,sales@albadartravel.co.uk,0121 773 4918,albadartravel.co.uk,https://albadartravel.co.uk,Public website crawl,legitimate_interest,email_verified,27.81,"Al Badar Travel is one of the West Midland's leading travel agents, located in the heart of Birmingham offering Hajj and Umrah packages at lowest possible rates."
FJ Travel And Tours,,Procurement Manager,fjtravels@yahoo.com,+1 905-461-0959 20,fjtravels.com,https://fjtravels.com/about-us,Public website crawl,unknown,email_verified,26.92,Years of Experience
Madina Travel Nottingham,,Procurement Manager,info@madinatravelnottingham.co.uk,0115 837 8626,madinatravelnottingham.co.uk,https://madinatravelnottingham.co.uk/hajjpackages,Public website crawl,legitimate_interest,email_verified,26.65,Hajj & Umrah Packages
"Travel Packages In Chicago, IL",,Procurement Manager,hello@hajjmakkahtours.com,60659 (773) 338-0720,hajjmakkahtours.com,https://www.hajjmakkahtours.com,Public website crawl,legitimate_interest,email_verified,26.43,"Welcome to Makkah Tours & Travel Inc. in Chicago, IL offering Tour Packages, Hajj Packages, Umrah Group, Umrah Packages and more."
FJ Travel And Tours,,Procurement Manager,fjtravels@yahoo.com,+1 905-461-0959,fjtravels.com,https://fjtravels.com/toronto-umrah-packages,Public website crawl,unknown,email_verified,25.93,Toronto Umrah Packages – Begin Your Blessed Journey with FJ Travels & Tours
A & A Travel & Tour Inc (formerly known as Baggia Travel),,Procurement Manager,info@aatravel.ca,+1416-335-6026,aatravel.ca,https://aatravel.ca/umrah,Public website crawl,legitimate_interest,email_verified,25.70,Best Umrah packages for 2024 by A & A Travel & Tours (Formerly known as Baggia Travels)
Embassy Tours,,Procurement Manager,booking@embassytours.com,+1 121-356-95950,embassytourshajjandumrah.com,https://embassytourshajjandumrah.com/about,Public website crawl,unknown,email_verified,25.60,"Hajj & Umrah Packages from the USA – Embassy Tours Embassy Tours is your trusted partner for meaningful Hajj and Umrah experiences from the USA to the Holy Cities. With expertly designed pilgrimage packages departing from Los Angeles, New York, and other major cities, we guide you on every step of your sacred journey."
Umrah Packages London,,Procurement Manager,info@umrahpackageslondon.com,020 30110793,umrahpackageslondon.com,https://umrahpackageslondon.com,Public website crawl,legitimate_interest,email_verified,25.52,"If you are looking for a trustworthy and affordable Islamic travel agency in the UK for Umrah, Umrah Packages London can help."
Alhadi Travel,,Procurement Manager,info@alhaditravel.co.uk,0203 930 0817,alhaditravel.co.uk,https://alhaditravel.co.uk/city/leicester-umrah-packages,Public website crawl,legitimate_interest,email_verified,25.44,"Book your Umrah Package from Leicester today with Alhadi Travel. Affordable, reliable, and ready for your pilgrimage. Reserve your spot today."
Muslims Holy Travel,,Procurement Manager,info@muslimsholytravel.co.uk,0203 900 0310,muslimsholytravel.co.uk,https://www.muslimsholytravel.co.uk/hajj-packages-london,Public website crawl,legitimate_interest,email_verified,25.37,"Get a perfect chance to embark on the soulful Hajj voyage with all-inclusive Hajj packages for the Muslim residents of London, by Muslims Holy Travel."
Qibla Travels,,Procurement Manager,info@qiblatravels.com,020 8558 4848,qiblatravels.com,https://www.qiblatravels.com/about,Public website crawl,legitimate_interest,email_verified,25.37,"Qibla Travels Ltd is a dedicated corporate Hajj, Umrah, and Halal Holidays travel agency. We provide you best Hajj and Umrah packages UK."
Sukoon Travels,,Procurement Manager,info@sukoontravels.com,1-888-358-6724,sukoontravels.com,https://sukoontravels.com/hajj-packages-from-montreal,Public website crawl,legitimate_interest,email_verified,25.31,"Book your Hajj from Montreal with Sukoon Travels. Enjoy seamless travel, visa support, and trusted service for a safe and spiritually fulfilling journey."
Taibah Travels,,Procurement Manager,info@taibahtravels.com,+1 (206) 848-5272,taibahtravels.com,https://taibahtravels.com/detroit-mi,Public website crawl,legitimate_interest,email_verified,25.31,"Experience top Umrah services in Detroit, MI, with Taibah Travels, offering visa assistance, direct flights, and convenient packages for your pilgrimage needs."
Umrah Packages From Los Angeles 2026,,Procurement Manager,info@tarteeltravel.com,+1 (215)-277-7474,tarteeltravel.com,https://www.tarteeltravel.com/umrah-packages/los-angeles,Public website crawl,legitimate_interest,email_verified,25.31,Embark on a sacred Umrah from Los Angeles. Tarteel Travel provides luxury packages with top-tier logistics for a peaceful and organized journey.
ATOL Protected Hajj & Umrah,,Procurement Manager,info@alhijaztours.net,0121 777 2522 693,alhijaztours.net,https://alhijaztours.net,Public website crawl,legitimate_interest,email_verified,25.25,"Book ATOL-protected Umrah Packages 2026 from the UK with flights, 5★–3★ hotels & transport included. Trusted Hajj & Umrah travel experts."
Bukhari Tours,,Procurement Manager,info@bukharitours.com,+44 7513 311939,bukharitours.co.uk,https://bukharitours.co.uk/contact-us,Public website crawl,legitimate_interest,email_verified,25.25,"Get in touch with Bukhari Tours, the UK’s trusted Hajj & Umrah travel agency. Serving Manchester, London & Birmingham with expert Islamic travel guidance."
Falcon Travel,,Procurement Manager,info@falcontravel.ca,1-844-774-2828,falcontravel.ca,https://falcontravel.ca,Public website crawl,legitimate_interest,email_verified,25.20,"Falcon Travel offers Hajj, Umrah, Saudi visa services, and Islamic tours for Muslims across Canada. Trusted travel agency serving pilgrims since 1980."
